,location_id,total,name,year,location_name
0,1,74846,Brasil,2007,Urbana
1,1,75635,Brasil,2008,Urbana
2,1,76539,Brasil,2009,Urbana
3,1,77413,Brasil,2010,Urbana
4,1,81170,Brasil,2015,Urbana
5,1,82032,Brasil,2016,Urbana
6,1,82769,Brasil,2017,Urbana
7,1,82896,Brasil,2018,Urbana
8,1,83570,Brasil,2019,Urbana
9,2,77015,Brasil,2007,Rural
10,2,75785,Brasil,2008,Rural
11,2,73535,Brasil,2009,Rural
12,2,70680,Brasil,2010,Rural
13,2,59328,Brasil,2015,Rural
14,2,58013,Brasil,2016,Rural
15,2,56008,Brasil,2017,Rural
16,2,53217,Brasil,2018,Rural
17,2,51807,Brasil,2019,Rural
18,1,74846,Brasil,2007,Urbana
19,1,75635,Brasil,2008,Urbana
20,1,76539,Brasil,2009,Urbana
21,1,77413,Brasil,2010,Urbana
22,1,81170,Brasil,2015,Urbana
23,1,82032,Brasil,2016,Urbana
24,1,82769,Brasil,2017,Urbana
25,1,82896,Brasil,2018,Urbana
26,1,83570,Brasil,2019,Urbana
27,2,77015,Brasil,2007,Rural
28,2,75785,Brasil,2008,Rural
29,2,73535,Brasil,2009,Rural
30,2,70680,Brasil,2010,Rural
31,2,59328,Brasil,2015,Rural
32,2,58013,Brasil,2016,Rural
33,2,56008,Brasil,2017,Rural
34,2,53217,Brasil,2018,Rural
35,2,51807,Brasil,2019,Rural
36,1,3197,Brasil,2007,Urbana
37,1,3047,Brasil,2008,Urbana
38,1,2785,Brasil,2009,Urbana
39,1,2415,Brasil,2010,Urbana
40,1,1861,Brasil,2015,Urbana
41,1,1638,Brasil,2016,Urbana
42,1,1301,Brasil,2017,Urbana
43,1,1448,Brasil,2018,Urbana
44,1,913,Brasil,2019,Urbana
45,2,10745,Brasil,2007,Rural
46,2,10156,Brasil,2008,Rural
47,2,8924,Brasil,2009,Rural
48,2,8142,Brasil,2010,Rural
49,2,4751,Brasil,2015,Rural
50,2,4382,Brasil,2016,Rural
51,2,4039,Brasil,2017,Rural
52,2,3737,Brasil,2018,Rural
53,2,2886,Brasil,2019,Rural
54,1,74846,Brasil,2007,Urbana
55,1,75635,Brasil,2008,Urbana
56,1,76539,Brasil,2009,Urbana
57,1,77413,Brasil,2010,Urbana
58,1,81170,Brasil,2015,Urbana
59,1,82032,Brasil,2016,Urbana
60,1,82769,Brasil,2017,Urbana
61,1,82896,Brasil,2018,Urbana
62,1,83570,Brasil,2019,Urbana
63,2,77015,Brasil,2007,Rural
64,2,75785,Brasil,2008,Rural
65,2,73535,Brasil,2009,Rural
66,2,70680,Brasil,2010,Rural
67,2,59328,Brasil,2015,Rural
68,2,58013,Brasil,2016,Rural
69,2,56008,Brasil,2017,Rural
70,2,53217,Brasil,2018,Rural
71,2,51807,Brasil,2019,Rural
72,1,23483,Brasil,2007,Urbana
73,1,23486,Brasil,2008,Urbana
74,1,23016,Brasil,2009,Urbana
75,1,22835,Brasil,2010,Urbana
76,1,58916,Brasil,2015,Urbana
77,1,58990,Brasil,2016,Urbana
78,1,59033,Brasil,2017,Urbana
79,1,58752,Brasil,2018,Urbana
80,1,58671,Brasil,2019,Urbana
81,2,15839,Brasil,2007,Rural
82,2,15208,Brasil,2008,Rural
83,2,14815,Brasil,2009,Rural
84,2,14113,Brasil,2010,Rural
85,2,56098,Brasil,2015,Rural
86,2,54758,Brasil,2016,Rural
87,2,52683,Brasil,2017,Rural
88,2,49903,Brasil,2018,Rural
89,2,48402,Brasil,2019,Rural
90,1,23483,Brasil,2007,Urbana
91,1,23486,Brasil,2008,Urbana
92,1,23016,Brasil,2009,Urbana
93,1,22835,Brasil,2010,Urbana
94,1,41263,Brasil,2015,Urbana
95,1,40915,Brasil,2016,Urbana
96,1,40921,Brasil,2017,Urbana
97,1,40551,Brasil,2018,Urbana
98,1,40115,Brasil,2019,Urbana
99,2,15839,Brasil,2007,Rural
100,2,15208,Brasil,2008,Rural
101,2,14815,Brasil,2009,Rural
102,2,14113,Brasil,2010,Rural
103,2,24673,Brasil,2015,Rural
104,2,23539,Brasil,2016,Rural
105,2,23783,Brasil,2017,Rural
106,2,23233,Brasil,2018,Rural
107,2,22905,Brasil,2019,Rural
108,1,62020,Brasil,2015,Urbana
109,1,62419,Brasil,2016,Urbana
110,1,62727,Brasil,2017,Urbana
111,1,62656,Brasil,2018,Urbana
112,1,62941,Brasil,2019,Urbana
113,2,56430,Brasil,2015,Rural
114,2,55118,Brasil,2016,Rural
115,2,52951,Brasil,2017,Rural
116,2,50149,Brasil,2018,Rural
117,2,48643,Brasil,2019,Rural
118,1,23483,Brasil,2007,Urbana
119,1,23486,Brasil,2008,Urbana
120,1,23016,Brasil,2009,Urbana
121,1,22835,Brasil,2010,Urbana
122,1,58916,Brasil,2015,Urbana
123,1,58990,Brasil,2016,Urbana
124,1,59033,Brasil,2017,Urbana
125,1,58752,Brasil,2018,Urbana
126,1,58671,Brasil,2019,Urbana
127,2,15839,Brasil,2007,Rural
128,2,15208,Brasil,2008,Rural
129,2,14815,Brasil,2009,Rural
130,2,14113,Brasil,2010,Rural
131,2,56098,Brasil,2015,Rural
132,2,54758,Brasil,2016,Rural
133,2,52683,Brasil,2017,Rural
134,2,49903,Brasil,2018,Rural
135,2,48402,Brasil,2019,Rural
136,1,16399,Brasil,2015,Urbana
137,1,16177,Brasil,2016,Urbana
138,1,15499,Brasil,2017,Urbana
139,1,14788,Brasil,2018,Urbana
140,1,14439,Brasil,2019,Urbana
141,2,4015,Brasil,2015,Rural
142,2,4078,Brasil,2016,Rural
143,2,3880,Brasil,2017,Rural
144,2,3631,Brasil,2018,Rural
145,2,3685,Brasil,2019,Rural
146,1,74846,Brasil,2007,Urbana
147,1,75635,Brasil,2008,Urbana
148,1,76539,Brasil,2009,Urbana
149,1,77413,Brasil,2010,Urbana
150,1,81170,Brasil,2015,Urbana
151,1,82032,Brasil,2016,Urbana
152,1,82769,Brasil,2017,Urbana
153,1,82896,Brasil,2018,Urbana
